division;iteration_key;arousal_zelle;valence_zelle;dichte
KE;1;-0,8167;0,8167;0,0004
KE;1;-0,8167;0,85;0,0002
KE;1;-0,8167;0,8833;0,0001
KE;1;-0,7833;-0,8167;0,0001
KE;1;-0,7833;-0,7833;0,0003
KE;1;-0,7833;-0,75;0,0011
KE;1;-0,7833;-0,7167;0,0029
KE;1;-0,7833;-0,6833;0,0062
KE;1;-0,7833;-0,65;0,0107
KE;1;-0,7833;-0,6167;0,0153
KE;1;-0,7833;-0,5833;0,0182
KE;1;-0,7833;-0,55;0,0182
KE;1;-0,7833;-0,5167;0,0158
KE;1;-0,7833;-0,4833;0,0135
KE;1;-0,7833;-0,45;0,0142
KE;1;-0,7833;-0,4167;0,0199
KE;1;-0,7833;-0,3833;0,0297
KE;1;-0,7833;-0,35;0,0394
KE;1;-0,7833;-0,3167;0,0434
KE;1;-0,7833;-0,2833;0,039
KE;1;-0,7833;-0,25;0,0284
KE;1;-0,7833;-0,2167;0,0168
KE;1;-0,7833;-0,1833;0,008
KE;1;-0,7833;-0,15;0,0031
KE;1;-0,7833;-0,1167;0,001
KE;1;-0,7833;-0,0833;0,0003
KE;1;-0,7833;-0,05;0,0001
KE;1;-0,7833;-0,0167;0,0002
KE;1;-0,7833;0,0167;0,0007
KE;1;-0,7833;0,05;0,0023
KE;1;-0,7833;0,0833;0,0062
KE;1;-0,7833;0,1167;0,0137
KE;1;-0,7833;0,15;0,025
KE;1;-0,7833;0,1833;0,0383
KE;1;-0,7833;0,2167;0,0496
KE;1;-0,7833;0,25;0,0552
KE;1;-0,7833;0,2833;0,0541
KE;1;-0,7833;0,3167;0,0484
KE;1;-0,7833;0,35;0,0427
KE;1;-0,7833;0,3833;0,0421
KE;1;-0,7833;0,4167;0,0487
KE;1;-0,7833;0,45;0,0589
KE;1;-0,7833;0,4833;0,0652
KE;1;-0,7833;0,5167;0,0614
KE;1;-0,7833;0,55;0,0481
KE;1;-0,7833;0,5833;0,0313
KE;1;-0,7833;0,6167;0,0172
KE;1;-0,7833;0,65;0,0087
KE;1;-0,7833;0,6833;0,0048
KE;1;-0,7833;0,7167;0,0033
KE;1;-0,7833;0,75;0,0024
KE;1;-0,7833;0,7833;0,0017
KE;1;-0,7833;0,8167;0,001
KE;1;-0,7833;0,85;0,0005
KE;1;-0,7833;0,8833;0,0002
KE;1;-0,7833;0,9167;0,0001
KE;1;-0,75;-0,8167;0,0001
KE;1;-0,75;-0,7833;0,0005
KE;1;-0,75;-0,75;0,0016
KE;1;-0,75;-0,7167;0,0041
KE;1;-0,75;-0,6833;0,0088
KE;1;-0,75;-0,65;0,0154
KE;1;-0,75;-0,6167;0,0223
KE;1;-0,75;-0,5833;0,0268
KE;1;-0,75;-0,55;0,0272
KE;1;-0,75;-0,5167;0,0239
KE;1;-0,75;-0,4833;0,0199
KE;1;-0,75;-0,45;0,019
KE;1;-0,75;-0,4167;0,0241
KE;1;-0,75;-0,3833;0,0344
KE;1;-0,75;-0,35;0,045
KE;1;-0,75;-0,3167;0,0493
KE;1;-0,75;-0,2833;0,0442
KE;1;-0,75;-0,25;0,0322
KE;1;-0,75;-0,2167;0,0191
KE;1;-0,75;-0,1833;0,0091
KE;1;-0,75;-0,15;0,0035
KE;1;-0,75;-0,1167;0,0011
KE;1;-0,75;-0,0833;0,0003
KE;1;-0,75;-0,05;0,0001
KE;1;-0,75;-0,0167;0,0002
KE;1;-0,75;0,0167;0,0007
KE;1;-0,75;0,05;0,0024
KE;1;-0,75;0,0833;0,0064
KE;1;-0,75;0,1167;0,0144
KE;1;-0,75;0,15;0,0267
KE;1;-0,75;0,1833;0,0414
KE;1;-0,75;0,2167;0,0543
KE;1;-0,75;0,25;0,061
KE;1;-0,75;0,2833;0,0598
KE;1;-0,75;0,3167;0,0527
KE;1;-0,75;0,35;0,0447
KE;1;-0,75;0,3833;0,0411
KE;1;-0,75;0,4167;0,0448
KE;1;-0,75;0,45;0,0532
KE;1;-0,75;0,4833;0,0592
KE;1;-0,75;0,5167;0,0569
KE;1;-0,75;0,55;0,0457
KE;1;-0,75;0,5833;0,0308
KE;1;-0,75;0,6167;0,0181
KE;1;-0,75;0,65;0,0105
KE;1;-0,75;0,6833;0,0072
KE;1;-0,75;0,7167;0,0059
KE;1;-0,75;0,75;0,0048
KE;1;-0,75;0,7833;0,0034
KE;1;-0,75;0,8167;0,002
KE;1;-0,75;0,85;0,001
KE;1;-0,75;0,8833;0,0004
KE;1;-0,75;0,9167;0,0001
KE;1;-0,7167;-0,8167;0,0002
KE;1;-0,7167;-0,7833;0,0007
KE;1;-0,7167;-0,75;0,0021
KE;1;-0,7167;-0,7167;0,0053
KE;1;-0,7167;-0,6833;0,0113
KE;1;-0,7167;-0,65;0,0199
KE;1;-0,7167;-0,6167;0,029
KE;1;-0,7167;-0,5833;0,0353
KE;1;-0,7167;-0,55;0,0364
KE;1;-0,7167;-0,5167;0,0325
KE;1;-0,7167;-0,4833;0,0268
KE;1;-0,7167;-0,45;0,024
KE;1;-0,7167;-0,4167;0,0279
KE;1;-0,7167;-0,3833;0,0377
KE;1;-0,7167;-0,35;0,0484
KE;1;-0,7167;-0,3167;0,0528
KE;1;-0,7167;-0,2833;0,0473
KE;1;-0,7167;-0,25;0,0345
KE;1;-0,7167;-0,2167;0,0204
KE;1;-0,7167;-0,1833;0,0098
KE;1;-0,7167;-0,15;0,0038
KE;1;-0,7167;-0,1167;0,0012
KE;1;-0,7167;-0,0833;0,0003
KE;1;-0,7167;-0,05;0,0001
KE;1;-0,7167;-0,0167;0,0002
KE;1;-0,7167;0,0167;0,0007
KE;1;-0,7167;0,05;0,0022
KE;1;-0,7167;0,0833;0,0062
KE;1;-0,7167;0,1167;0,014
KE;1;-0,7167;0,15;0,0263
KE;1;-0,7167;0,1833;0,0413
KE;1;-0,7167;0,2167;0,0546
KE;1;-0,7167;0,25;0,0616
KE;1;-0,7167;0,2833;0,0601
KE;1;-0,7167;0,3167;0,0521
KE;1;-0,7167;0,35;0,0424
KE;1;-0,7167;0,3833;0,0366
KE;1;-0,7167;0,4167;0,0378
KE;1;-0,7167;0,45;0,0441
KE;1;-0,7167;0,4833;0,0497
KE;1;-0,7167;0,5167;0,0487
KE;1;-0,7167;0,55;0,0403
KE;1;-0,7167;0,5833;0,0283
KE;1;-0,7167;0,6167;0,0183
KE;1;-0,7167;0,65;0,0127
KE;1;-0,7167;0,6833;0,0108
KE;1;-0,7167;0,7167;0,01
KE;1;-0,7167;0,75;0,0085
KE;1;-0,7167;0,7833;0,0061
KE;1;-0,7167;0,8167;0,0036
KE;1;-0,7167;0,85;0,0017
KE;1;-0,7167;0,8833;0,0007
KE;1;-0,7167;0,9167;0,0002
KE;1;-0,7167;0,95;0,0001
KE;1;-0,6833;-0,8167;0,0002
KE;1;-0,6833;-0,7833;0,0008
KE;1;-0,6833;-0,75;0,0025
KE;1;-0,6833;-0,7167;0,0063
KE;1;-0,6833;-0,6833;0,0133
KE;1;-0,6833;-0,65;0,0233
KE;1;-0,6833;-0,6167;0,0341
KE;1;-0,6833;-0,5833;0,042
KE;1;-0,6833;-0,55;0,0439
KE;1;-0,6833;-0,5167;0,0398
KE;1;-0,6833;-0,4833;0,0328
KE;1;-0,6833;-0,45;0,0283
KE;1;-0,6833;-0,4167;0,0304
KE;1;-0,6833;-0,3833;0,0392
KE;1;-0,6833;-0,35;0,0493
KE;1;-0,6833;-0,3167;0,0534
KE;1;-0,6833;-0,2833;0,0478
KE;1;-0,6833;-0,25;0,0348
KE;1;-0,6833;-0,2167;0,0206
KE;1;-0,6833;-0,1833;0,0098
KE;1;-0,6833;-0,15;0,0038
KE;1;-0,6833;-0,1167;0,0012
KE;1;-0,6833;-0,0833;0,0003
KE;1;-0,6833;-0,05;0,0001
KE;1;-0,6833;-0,0167;0,0002
KE;1;-0,6833;0,0167;0,0006
KE;1;-0,6833;0,05;0,0021
KE;1;-0,6833;0,0833;0,0057
KE;1;-0,6833;0,1167;0,0131
KE;1;-0,6833;0,15;0,0247
KE;1;-0,6833;0,1833;0,0389
KE;1;-0,6833;0,2167;0,0514
KE;1;-0,6833;0,25;0,0576
KE;1;-0,6833;0,2833;0,0555
KE;1;-0,6833;0,3167;0,0469
KE;1;-0,6833;0,35;0,0367
KE;1;-0,6833;0,3833;0,0299
KE;1;-0,6833;0,4167;0,0293
KE;1;-0,6833;0,45;0,0337
KE;1;-0,6833;0,4833;0,0384
KE;1;-0,6833;0,5167;0,0385
KE;1;-0,6833;0,55;0,0329
KE;1;-0,6833;0,5833;0,0246
KE;1;-0,6833;0,6167;0,018
KE;1;-0,6833;0,65;0,0153
KE;1;-0,6833;0,6833;0,0153
KE;1;-0,6833;0,7167;0,0153
KE;1;-0,6833;0,75;0,0134
KE;1;-0,6833;0,7833;0,0097
KE;1;-0,6833;0,8167;0,0057
KE;1;-0,6833;0,85;0,0027
KE;1;-0,6833;0,8833;0,0011
KE;1;-0,6833;0,9167;0,0003
KE;1;-0,6833;0,95;0,0001
KE;1;-0,65;-0,85;0,0001
KE;1;-0,65;-0,8167;0,0003
KE;1;-0,65;-0,7833;0,001
KE;1;-0,65;-0,75;0,0029
KE;1;-0,65;-0,7167;0,0072
KE;1;-0,65;-0,6833;0,0148
KE;1;-0,65;-0,65;0,0254
KE;1;-0,65;-0,6167;0,037
KE;1;-0,65;-0,5833;0,0456
KE;1;-0,65;-0,55;0,0481
KE;1;-0,65;-0,5167;0,0441
KE;1;-0,65;-0,4833;0,0365
KE;1;-0,65;-0,45;0,0309
KE;1;-0,65;-0,4167;0,0318
KE;1;-0,65;-0,3833;0,0395
KE;1;-0,65;-0,35;0,049
KE;1;-0,65;-0,3167;0,0529
KE;1;-0,65;-0,2833;0,0472
KE;1;-0,65;-0,25;0,0343
KE;1;-0,65;-0,2167;0,0203
KE;1;-0,65;-0,1833;0,0097
KE;1;-0,65;-0,15;0,0038
KE;1;-0,65;-0,1167;0,0012
KE;1;-0,65;-0,0833;0,0003
KE;1;-0,65;-0,05;0,0001
KE;1;-0,65;-0,0167;0,0001
KE;1;-0,65;0,0167;0,0006
KE;1;-0,65;0,05;0,0019
KE;1;-0,65;0,0833;0,0053
KE;1;-0,65;0,1167;0,0121
KE;1;-0,65;0,15;0,0228
KE;1;-0,65;0,1833;0,0357
KE;1;-0,65;0,2167;0,0465
KE;1;-0,65;0,25;0,0511
KE;1;-0,65;0,2833;0,0479
KE;1;-0,65;0,3167;0,0391
KE;1;-0,65;0,35;0,0291
KE;1;-0,65;0,3833;0,0223
KE;1;-0,65;0,4167;0,0208
KE;1;-0,65;0,45;0,0237
KE;1;-0,65;0,4833;0,0273
KE;1;-0,65;0,5167;0,0281
KE;1;-0,65;0,55;0,0249
KE;1;-0,65;0,5833;0,0201
KE;1;-0,65;0,6167;0,0172
KE;1;-0,65;0,65;0,0177
KE;1;-0,65;0,6833;0,0199
KE;1;-0,65;0,7167;0,0208
KE;1;-0,65;0,75;0,0184
KE;1;-0,65;0,7833;0,0134
KE;1;-0,65;0,8167;0,0079
KE;1;-0,65;0,85;0,0038
KE;1;-0,65;0,8833;0,0015
KE;1;-0,65;0,9167;0,0005
KE;1;-0,65;0,95;0,0001
KE;1;-0,6167;-0,85;0,0001
KE;1;-0,6167;-0,8167;0,0003
KE;1;-0,6167;-0,7833;0,0012
KE;1;-0,6167;-0,75;0,0033
KE;1;-0,6167;-0,7167;0,008
KE;1;-0,6167;-0,6833;0,0159
KE;1;-0,6167;-0,65;0,0266
KE;1;-0,6167;-0,6167;0,0378
KE;1;-0,6167;-0,5833;0,046
KE;1;-0,6167;-0,55;0,0484
KE;1;-0,6167;-0,5167;0,0445
KE;1;-0,6167;-0,4833;0,0372
KE;1;-0,6167;-0,45;0,0317
KE;1;-0,6167;-0,4167;0,0326
KE;1;-0,6167;-0,3833;0,0405
KE;1;-0,6167;-0,35;0,0501
KE;1;-0,6167;-0,3167;0,054
KE;1;-0,6167;-0,2833;0,0482
KE;1;-0,6167;-0,25;0,0351
KE;1;-0,6167;-0,2167;0,0207
KE;1;-0,6167;-0,1833;0,0099
KE;1;-0,6167;-0,15;0,0039
KE;1;-0,6167;-0,1167;0,0012
KE;1;-0,6167;-0,0833;0,0003
KE;1;-0,6167;-0,05;0,0001
KE;1;-0,6167;-0,0167;0,0001
KE;1;-0,6167;0,0167;0,0006
KE;1;-0,6167;0,05;0,0019
KE;1;-0,6167;0,0833;0,0052
KE;1;-0,6167;0,1167;0,0117
KE;1;-0,6167;0,15;0,0216
KE;1;-0,6167;0,1833;0,0329
KE;1;-0,6167;0,2167;0,0417
KE;1;-0,6167;0,25;0,0443
KE;1;-0,6167;0,2833;0,0398
KE;1;-0,6167;0,3167;0,0309
KE;1;-0,6167;0,35;0,0217
KE;1;-0,6167;0,3833;0,0154
KE;1;-0,6167;0,4167;0,0136
KE;1;-0,6167;0,45;0,0152
KE;1;-0,6167;0,4833;0,0178
KE;1;-0,6167;0,5167;0,0187
KE;1;-0,6167;0,55;0,0174
KE;1;-0,6167;0,5833;0,0156
KE;1;-0,6167;0,6167;0,0159
KE;1;-0,6167;0,65;0,0192
KE;1;-0,6167;0,6833;0,0234
KE;1;-0,6167;0,7167;0,025
KE;1;-0,6167;0,75;0,0223
KE;1;-0,6167;0,7833;0,0162
KE;1;-0,6167;0,8167;0,0096
KE;1;-0,6167;0,85;0,0046
KE;1;-0,6167;0,8833;0,0018
KE;1;-0,6167;0,9167;0,0006
KE;1;-0,6167;0,95;0,0001
KE;1;-0,5833;-0,85;0,0001
KE;1;-0,5833;-0,8167;0,0004
KE;1;-0,5833;-0,7833;0,0014
KE;1;-0,5833;-0,75;0,0039
KE;1;-0,5833;-0,7167;0,009
KE;1;-0,5833;-0,6833;0,0171
KE;1;-0,5833;-0,65;0,0274
KE;1;-0,5833;-0,6167;0,0374
KE;1;-0,5833;-0,5833;0,0441
KE;1;-0,5833;-0,55;0,0454
KE;1;-0,5833;-0,5167;0,0413
KE;1;-0,5833;-0,4833;0,0348
KE;1;-0,5833;-0,45;0,0309
KE;1;-0,5833;-0,4167;0,0337
KE;1;-0,5833;-0,3833;0,0434
KE;1;-0,5833;-0,35;0,0545
KE;1;-0,5833;-0,3167;0,059
KE;1;-0,5833;-0,2833;0,0528
KE;1;-0,5833;-0,25;0,0384
KE;1;-0,5833;-0,2167;0,0227
KE;1;-0,5833;-0,1833;0,0109
KE;1;-0,5833;-0,15;0,0042
KE;1;-0,5833;-0,1167;0,0013
KE;1;-0,5833;-0,0833;0,0003
KE;1;-0,5833;-0,05;0,0001
KE;1;-0,5833;-0,0167;0,0002
KE;1;-0,5833;0,0167;0,0006
KE;1;-0,5833;0,05;0,002
KE;1;-0,5833;0,0833;0,0053
KE;1;-0,5833;0,1167;0,0117
KE;1;-0,5833;0,15;0,0211
KE;1;-0,5833;0,1833;0,0311
KE;1;-0,5833;0,2167;0,0381
KE;1;-0,5833;0,25;0,0386
KE;1;-0,5833;0,2833;0,033
KE;1;-0,5833;0,3167;0,024
KE;1;-0,5833;0,35;0,0156
KE;1;-0,5833;0,3833;0,0101
KE;1;-0,5833;0,4167;0,0082
KE;1;-0,5833;0,45;0,0089
KE;1;-0,5833;0,4833;0,0105
KE;1;-0,5833;0,5167;0,0114
KE;1;-0,5833;0,55;0,0113
KE;1;-0,5833;0,5833;0,0116
KE;1;-0,5833;0,6167;0,0141
KE;1;-0,5833;0,65;0,0191
KE;1;-0,5833;0,6833;0,0244
KE;1;-0,5833;0,7167;0,0266
KE;1;-0,5833;0,75;0,0238
KE;1;-0,5833;0,7833;0,0173
KE;1;-0,5833;0,8167;0,0102
KE;1;-0,5833;0,85;0,0049
KE;1;-0,5833;0,8833;0,0019
KE;1;-0,5833;0,9167;0,0006
KE;1;-0,5833;0,95;0,0002
KE;1;-0,55;-0,85;0,0001
KE;1;-0,55;-0,8167;0,0005
KE;1;-0,55;-0,7833;0,0017
KE;1;-0,55;-0,75;0,0046
KE;1;-0,55;-0,7167;0,0101
KE;1;-0,55;-0,6833;0,0184
KE;1;-0,55;-0,65;0,0281
KE;1;-0,55;-0,6167;0,0366
KE;1;-0,55;-0,5833;0,041
KE;1;-0,55;-0,55;0,0404
